nome;dimensao;material; qtd ;unid; unit ; total 
TUBO COM PONTA E BOLSA JUNTA ELÁSTICA JE2GS K7;DN1000;FD; 1.512,00 ;m; 3.381,18 ; 5.112.344,16 
TUBO COM PONTA E BOLSA JUNTA TRAVADA EXTERNA JTE K7;DN1000;FD; 497,00 ;m; 5.268,35 ; 2.618.367,96 
CURVA 11°15' COM BOLSAS JUNTA TRAVADA EXTERNA JTE;DN1000;FD; 5,00 ;UN; 30.584,28 ; 152.921,40 
CURVA 22°30' COM BOLSAS JUNTA TRAVADA EXTERNA JTE;DN1000;FD; 10,00 ;UN; 34.594,62 ; 345.946,20 
CURVA 45° COM BOLSAS JUNTA TRAVADA EXTERNA JTE;DN1000;FD; 8,00 ;UN; 37.152,52 ; 297.220,16 
LUVA COM BOLSAS JUNTA ELÁSTICA JE2GS K7;DN1000;FD; 4,00 ;UN; 10.597,37 ; 42.389,48 
TUBO COM PONTA E BOLSA JUNTA ELÁSTICA JE2GS K7;DN1000;FD; 818,07 ;m; 3.381,18 ; 2.766.041,92 
TUBO COM PONTA E BOLSA JUNTA TRAVADA EXTERNA JTE K7;DN1000;FD; 215,50 ;m; 5.268,34 ; 1.135.327,27 
CURVA 11°15' COM BOLSAS JUNTA TRAVADA EXTERNA JTE;DN1000;FD; 2,00 ;UN; 30.584,28 ; 61.168,56 
CURVA 22°30' COM BOLSAS JUNTA TRAVADA EXTERNA JTE;DN1000;FD; 3,00 ;UN; 34.594,62 ; 103.783,86 
CURVA 45° COM BOLSAS JUNTA TRAVADA EXTERNA JTE;DN1000;FD; 6,00 ;UN; 37.152,52 ; 222.915,12 
LUVA COM BOLSAS JUNTA ELÁSTICA JE2GS K7;DN1000;FD; 2,00 ;UN; 10.597,37 ; 21.194,74 
TÊ DE REDUÇÃO COM BOLSAS JUNTA TRAVADA EXTERNA JTE E FLANGE PN10;DN1000x200;FD; 5,00 ;UN; 16.071,94 ; 80.359,70 
VÁLVULA DE GAVETA COM FLANGES E CUNHA DE BORRACHA CORPO CURTO COM VOLANTE PN10;DN200;FD; 5,00 ;UN; 1.424,37 ; 7.121,85 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN200;DN200;EPDM; 10,00 ;UN; 36,60 ; 366,00 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø20mmx90mm;Ø20mmx90mm;AÇO; 80,00 ;UN; 16,84 ; 1.347,20 
TÊ DE REDUÇÃO COM BOLSAS JUNTA TRAVADA EXTERNA JTE E FLANGE PN10;DN1000x200;FD; 6,00 ;UN; 16.071,94 ; 96.431,64 
CURVA 45° COM FLANGES PN10;DN200;FD; 6,00 ;UN; 581,29 ; 3.487,74 
TOCO COM FLANGES PN10;DN200x0,50m;FD; 6,00 ;UN; 730,31 ; 4.381,86 
VÁLVULA DE GAVETA COM FLANGES E CUNHA DE BORRACHA CORPO CURTO COM CABEÇOTE PN10;DN200;FD; 6,00 ;UN; 1.356,14 ; 8.136,84 
TUBO COM FLANGE PN10 E PONTA;DN200x1,00m;FD; 6,00 ;UN; 1.329,48 ; 7.976,88 
TAMPA PARA REGISTRO TD5;100mm;FD; 6,00 ;UN; 31,22 ; 187,32 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN200;DN200;EPDM; 24,00 ;UN; 36,60 ; 878,40 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø20mmx90mm;Ø20mmx90mm;AÇO; 192,00 ;UN; 16,84 ; 3.233,28 
VÁLVULA BORBOLETA FLANGEADA PN10 COM ACIONAMENTO MANUAL COM VOLANTE;DN900;FD; 1,00 ;UN; 49.626,30 ; 49.626,30 
TUBO COM FLANGES PN10;DN900x0,50m;FD; 1,00 ;UN; 17.621,54 ; 17.621,54 
JUNTA DE DESMONTAGEM TRAVADA AXIALMENTE PN10;DN900;FD; 1,00 ;UN; 22.578,34 ; 22.578,34 
REDUÇÃO CONCÊNTRICA COM FLANGES PN10;DN1000x900;FD; 1,00 ;UN; 17.914,76 ; 17.914,76 
TUBO COM FLANGE PN10 E PONTA PARA JUNTA EXTERNA;DN1000x1,00m;FD; 1,00 ;UN; 13.117,39 ; 13.117,39 
LUVA COM BOLSAS E JUNTA TRAVADA EXTERNA JTE;DN1000;FD; 1,00 ;UN; 29.971,78 ; 29.971,78 
VÁLVULA BORBOLETA FLANGEADA PN10 COM ACIONAMENTO MANUAL COM VOLANTE;DN1200;FD; 1,00 ;UN; 95.997,04 ; 95.997,04 
TUBO COM FLANGES PN10;DN1200x1,00m;FD; 1,00 ;UN; 25.738,60 ; 25.738,60 
JUNTA DE DESMONTAGEM TRAVADA AXIALMENTE PN10;DN1200;FD; 1,00 ;UN; 37.741,43 ; 37.741,43 
